,Formatted_Date,Date,Title,Explanation,Link
323,01 February 1963,February 1,1963 Ankara mid-air collision,"In the Ankara mid-air collision, Middle East Airlines Flight 265, a Vickers Viscount, collided with a Turkish Air Force Douglas C-47, killing all 17 on board both aircraft and 87 on the ground.",https://en.wikipedia.org/wiki/1963_Ankara_mid-air_collision
905,01 February 1991,February 1,1991 Los Angeles airport runway collision,"In the 1991 Los Angeles airport runway collision, USAir Flight 1493, a Boeing 737 landing at Los Angeles International Airport, collided with SkyWest Airlines Flight 5569, a Fairchild Metro commuter plane waiting to take off from the same runway. All 12 people aboard the Metro and 23 of the 89 on the Boeing 737 were killed.",https://en.wikipedia.org/wiki/1991_Los_Angeles_airport_runway_collision
755,01 July 1983,July 1,1983 Chosonminhang Il-62 crash,"A Chosonminhang Ilyushin Il-62 crashes in mountainous terrain near Labé, Guinea, killing all 23 on board.",https://en.wikipedia.org/wiki/1983_Chosonminhang_Il-62_crash
1301,01 June 2011,June 1,Air France Flight 447,"Air France Flight 447, an Airbus A330 flying from Rio de Janeiro, Brazil, to Paris, France, crashes in the Atlantic Ocean, killing all 228 people on board; bodies and aircraft debris are recovered within days but the main fuselage and the black boxes are not found until 2011; this remains the deadliest accident involving the A330.",https://en.wikipedia.org/wiki/Air_France_Flight_447
302,01 March 1962,March 1,American Airlines Flight 1 (1962),"American Airlines Flight 1, a Boeing 707 destined for Los Angeles, California, United States, crashed in Jamaica Bay, Queens, New York, due to a rudder malfunction; all 95 passengers and crew on board are killed.",https://en.wikipedia.org/wiki/American_Airlines_Flight_1_(1962)
210,01 May 1957,May 1,1957 Blackbushe Viking accident,"In the 1957 Blackbushe Viking accident, an Eagle Aviation Vickers VC.1 Viking crashed after engine failure at Blackbushe Airport; of the 35 on board, only a passenger survives.",https://en.wikipedia.org/wiki/1957_Blackbushe_Viking_accident
586,01 November 1974,November 1,1974 Surgut mid-air collision,"Aeroflot Flight 662, an Antonov An-2, collided in mid-air with a Mil Mi-8 helicopter near Surgut, Russia due to ATC errors, killing all 38 on board both aircraft.",https://en.wikipedia.org/wiki/1974_Surgut_mid-air_collision
744,01 September 1982,September 1,1982 Aerocondor DHC-4 Caribou accident,"An Aerolíneas Cóndor de Havilland Canada DHC-4 Caribou flies into high ground in the Andes, Ecuador; all 44 on board are killed.",https://en.wikipedia.org/wiki/1982_Aerocondor_DHC-4_Caribou_accident
807,02 April 1986,April 2,TWA Flight 840 bombing (1986),"TWA Flight 840, a Boeing 727, is bombed by Palestinian militants, killing four of the 121 people on board, the plane manages to land safely in Athens.",https://en.wikipedia.org/wiki/TWA_Flight_840_bombing_(1986)
1,02 August 1919,August 2,1919 Verona Caproni Ca.48 crash,"A Caproni Ca.48 crashed at Verona, Italy, during a flight from Venice to Taliedo, Milan, killing all on board (14, 15, or 17 people, according to different sources).",https://en.wikipedia.org/wiki/1919_Verona_Caproni_Ca.48_crash
93,02 August 1947,August 2,1947 BSAA Avro Lancastrian Star Dust accident,"In the 1947 BSAA Star Dust accident, an Avro Lancastrian airliner disappeared over the Andes after transmitting an enigmatic coded message (""STENDEC""); the fate of the aircraft remains a mystery for more than 50 years until the crash site is finally located in 2000; it is apparent that all 11 people on board died in the accident.",https://en.wikipedia.org/wiki/1947_BSAA_Avro_Lancastrian_Star_Dust_accident
645,02 December 1977,December 2,1977 Libyan Arab Airlines Tu-154 crash,"A Libyan Arab Airlines Tupolev Tu-154 crashed near Benghazi, Libya, due to fuel exhaustion, while en route from King Abdulaziz International Airport, Saudi Arabia, to Benina International Airport in Libya; 59 of the 165 people on board lost their lives.",https://en.wikipedia.org/wiki/1977_Libyan_Arab_Airlines_Tu-154_crash
167,02 February 1953,February 2,1953 Skyways Avro York disappearance,"In the 1953 Skyways Avro York disappearance, a plane with 39 on board disappeared over the North Atlantic.",https://en.wikipedia.org/wiki/1953_Skyways_Avro_York_disappearance
1532,02 January 2023,January 2,2023 Gold Coast mid-air collision,"In the 2023 Gold Coast mid-air collision, two Eurocopter EC130s operated by Sea World Helicopters collided near Gold Coast, Queensland, Australia, killing four and injuring eight.",https://en.wikipedia.org/wiki/2023_Gold_Coast_mid-air_collision
1538,02 January 2024,January 2,2024 Haneda Airport runway collision,"In the 2024 Haneda Airport runway collision, Japan Airlines Flight 516, an Airbus A350 operating from New Chitose Airport to Haneda Airport, collided with a Japan Coast Guard De Havilland Canada Dash 8 aircraft while landing. All 379 occupants aboard the Japan Airlines flight were evacuated safely, while five of the six occupants aboard the Coast Guard aircraft were killed. Both aircraft were destroyed. This was the first hull loss of an Airbus A350. The destroyed DHC-8 was set to provide support in the response to the Noto earthquake the day prior.",https://en.wikipedia.org/wiki/2024_Haneda_Airport_runway_collision
121,02 July 1949,July 2,1949 MacRobertson Miller Aviation DC-3 crash,"A MacRobertson Miller Airlines Douglas DC-3 crashed on takeoff from Perth, Western Australia, killing all 18 on board.",https://en.wikipedia.org/wiki/1949_MacRobertson_Miller_Aviation_DC-3_crash
100,02 March 1948,March 2,1948 Heathrow disaster,"In the 1948 Heathrow disaster, a Sabena DC-3 crashed at Heathrow Airport in poor visibility due to pilot error, killing 20 of 22 on board.",https://en.wikipedia.org/wiki/1948_Heathrow_disaster
1513,02 March 2021,March 2,2021 South Sudan Supreme Airlines Let L-410 Turbolet crash,"A South Sudan Supreme Airlines Let L-410 Turbolet crashed whilst operating a domestic flight from Pieri to Yuai, South Sudan. All eight passengers and two crew members were killed.",https://en.wikipedia.org/wiki/2021_South_Sudan_Supreme_Airlines_Let_L-410_Turbolet_crash
